Year,gdp_rate
1960,57.47431238
1961,57.98823595
1962,57.01857402
1963,57.14666817
1964,53.35683665
1965,52.81869477
1966,53.94737058
1967,55.85247837
1968,53.55573997
1969,55.41281892
1970,54.56149999
1971,51.03131121
1972,59.609906
1973,56.638853
1974,56.63655312
1975,61.95413913
1976,51.91445693
1977,48.89805693
1978,54.2503083
1979,52.45201206
1980,32.82389185
1981,31.95151692
1982,31.44169633
1983,31.04603046
1984,34.69863208
1985,33.00673157
1986,32.36915289
1987,32.66390093
1988,31.3191778
1989,30.56164284
1990,30.4898331
1991,31.67702324
1992,30.51752524
1993,27.32108582
1994,26.72553755
1995,27.3043698
1996,23.26620805
1997,23.24614375
1998,22.58741576
1999,22.65841112
2000,22.71814808
2001,21.84834058
2002,20.58413442
2003,19.8127183
2004,19.26695957
2005,18.57103955
2006,18.03401651
2007,17.80653678
2008,17.59569554
2009,17.10462905
2010,17.00118126
2011,16.80998676
2012,16.17756317
2013,15.493278
2014,15.3516209
2015,14.78299644
2016,13.46479232
2017,12.95727604
2018,12.48007719
2019,11.97532192
2020,11.99968648
2021,11.63285843
